https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1616198400000,2021-03-20 00:00:00,ADA/USDT,1.29584,1.31155,1.20032,1.20201,650625869,819380895.80299,991029
1616112000000,2021-03-19 00:00:00,ADA/USDT,1.23016,1.34390,1.18000,1.29577,1476338182,1876072739.39001,1975552
1616025600000,2021-03-18 00:00:00,ADA/USDT,1.38030,1.48098,1.16100,1.23068,2742098114,3750743136.81473,3739482
1615939200000,2021-03-17 00:00:00,ADA/USDT,1.25197,1.43928,1.20570,1.38030,1827768944,2364376006.84979,2329171
1615852800000,2021-03-16 00:00:00,ADA/USDT,1.03150,1.28000,1.00100,1.25166,1887446399,2196095660.91025,2305994
1615766400000,2021-03-15 00:00:00,ADA/USDT,1.05358,1.07405,1.00000,1.03161,670574518,694810314.64372,934034
1615680000000,2021-03-14 00:00:00,ADA/USDT,1.10127,1.10509,1.05305,1.05358,548767352,593464191.95589,763586
1615593600000,2021-03-13 00:00:00,ADA/USDT,1.03371,1.19321,0.98427,1.10128,1001372775,1101892618.39203,1298158
1615507200000,2021-03-12 00:00:00,ADA/USDT,1.12587,1.13094,1.01823,1.03356,712506107,764245738.12293,977434
1615420800000,2021-03-11 00:00:00,ADA/USDT,1.13293,1.14079,1.11000,1.12587,453426365,510126133.68096,673879
1615334400000,2021-03-10 00:00:00,ADA/USDT,1.19886,1.21161,1.11065,1.13289,703303334,817362292.32173,963424
1615248000000,2021-03-09 00:00:00,ADA/USDT,1.12029,1.22200,1.11268,1.19879,855618292,1000929957.33067,1084125
1615161600000,2021-03-08 00:00:00,ADA/USDT,1.13111,1.17994,1.10468,1.12040,526132243,595641521.97042,728335
1615075200000,2021-03-07 00:00:00,ADA/USDT,1.12927,1.14619,1.10499,1.13081,433234617,488655941.58302,627151
1614988800000,2021-03-06 00:00:00,ADA/USDT,1.15842,1.18225,1.08475,1.12936,613067006,688713570.92220,931543
1614902400000,2021-03-05 00:00:00,ADA/USDT,1.11290,1.19663,1.03237,1.15845,1270747720,1433313960.44711,1682997
1614816000000,2021-03-04 00:00:00,ADA/USDT,1.21411,1.23255,1.06700,1.11288,1088302958,1252703651.86124,1454870
1614729600000,2021-03-03 00:00:00,ADA/USDT,1.22288,1.26997,1.20786,1.21399,597127511,740142331.35497,839360
1614643200000,2021-03-02 00:00:00,ADA/USDT,1.29823,1.30159,1.18010,1.22294,936646068,1147254364.04263,1294311
1614556800000,2021-03-01 00:00:00,ADA/USDT,1.31367,1.35000,1.23151,1.29800,1225796991,1574934925.13897,1649374
1614470400000,2021-02-28 00:00:00,ADA/USDT,1.31406,1.36312,1.15415,1.31320,2384198651,2973396126.16645,2983197
1614384000000,2021-02-27 00:00:00,ADA/USDT,1.24483,1.48600,1.22800,1.31376,2485085084,3402690829.37167,3185403
1614297600000,2021-02-26 00:00:00,ADA/USDT,1.07638,1.30060,0.98678,1.24484,2252967740,2598409680.21436,2623534
1614211200000,2021-02-25 00:00:00,ADA/USDT,1.04870,1.17990,1.01118,1.07694,1271954847,1390380385.87211,1425291
1614124800000,2021-02-24 00:00:00,ADA/USDT,0.96144,1.07717,0.89722,1.04891,1139129917,1156448551.36201,1283455
1614038400000,2021-02-23 00:00:00,ADA/USDT,1.09732,1.14500,0.80364,0.96177,2284558109,2200031697.90493,2713786
1613952000000,2021-02-22 00:00:00,ADA/USDT,1.10075,1.14621,0.80566,1.09729,1911239830,1945361573.78125,2219304
