https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1621209600000,2021-05-17 00:00:00,XMR/USDT,391.10,391.33,332.70,340.08,320162.651,113132904.18511,340237
1621123200000,2021-05-16 00:00:00,XMR/USDT,382.77,405.00,371.81,391.15,245713.596,96185154.99934,250860
1621036800000,2021-05-15 00:00:00,XMR/USDT,413.03,442.44,381.61,382.72,304138.621,125669129.08552,308242
1620950400000,2021-05-14 00:00:00,XMR/USDT,402.63,422.56,397.26,413.07,169973.263,69780921.45473,174159
1620864000000,2021-05-13 00:00:00,XMR/USDT,395.86,421.03,368.46,402.63,279539.001,110461769.88404,274991
1620777600000,2021-05-12 00:00:00,XMR/USDT,453.75,479.62,388.37,396.54,407132.483,182776223.07794,369285
1620691200000,2021-05-11 00:00:00,XMR/USDT,441.55,455.40,420.18,453.57,244548.852,107217513.73122,243368
1620604800000,2021-05-10 00:00:00,XMR/USDT,484.50,498.37,418.69,441.51,315133.578,147118428.85466,307575
1620518400000,2021-05-09 00:00:00,XMR/USDT,476.24,487.37,447.11,484.49,243354.941,113759858.72642,257875
1620432000000,2021-05-08 00:00:00,XMR/USDT,455.16,487.26,451.72,476.46,319774.749,150284933.03065,319943
1620345600000,2021-05-07 00:00:00,XMR/USDT,422.70,521.00,422.67,455.39,846157.884,408950138.47157,798154
1620259200000,2021-05-06 00:00:00,XMR/USDT,418.00,437.80,404.76,422.88,342174.969,144085957.46665,321765
1620172800000,2021-05-05 00:00:00,XMR/USDT,379.48,418.97,375.00,418.00,222031.622,89385472.94926,223587
1620086400000,2021-05-04 00:00:00,XMR/USDT,411.74,412.49,378.15,379.36,288913.247,114192944.46144,263330
1620000000000,2021-05-03 00:00:00,XMR/USDT,404.89,426.76,401.01,411.69,239171.137,99045285.61234,209244
1619913600000,2021-05-02 00:00:00,XMR/USDT,426.47,427.77,400.57,404.78,150145.873,61811085.42520,142843
1619827200000,2021-05-01 00:00:00,XMR/USDT,421.74,435.28,416.00,426.36,191983.646,81404447.40516,176650
1619740800000,2021-04-30 00:00:00,XMR/USDT,407.99,423.50,403.39,421.74,202640.624,83514727.96475,187289
1619654400000,2021-04-29 00:00:00,XMR/USDT,413.89,425.90,399.55,407.99,206899.021,85330600.06885,227935
1619568000000,2021-04-28 00:00:00,XMR/USDT,402.26,441.08,400.15,413.96,423062.081,178918540.78670,367444
1619481600000,2021-04-27 00:00:00,XMR/USDT,405.91,413.14,385.01,402.27,246173.828,98466884.58873,256776
1619395200000,2021-04-26 00:00:00,XMR/USDT,355.44,406.23,341.88,405.89,414988.581,157068561.87114,357606
1619308800000,2021-04-25 00:00:00,XMR/USDT,381.65,406.47,335.41,355.39,374141.856,141377434.45472,348665
1619222400000,2021-04-24 00:00:00,XMR/USDT,354.26,397.76,338.02,381.77,405176.816,150467429.68502,390103
1619136000000,2021-04-23 00:00:00,XMR/USDT,347.12,355.00,300.50,354.26,365339.630,119785381.08330,321766
1619049600000,2021-04-22 00:00:00,XMR/USDT,375.60,391.34,344.13,347.32,331933.114,124638792.14717,311360
1618963200000,2021-04-21 00:00:00,XMR/USDT,405.04,426.30,373.21,375.34,565940.653,227035254.25452,440852
1618876800000,2021-04-20 00:00:00,XMR/USDT,358.12,416.00,327.70,404.96,876009.505,331369032.30239,630271
1618790400000,2021-04-19 00:00:00,XMR/USDT,338.50,366.30,305.72,358.12,406090.261,138365309.30218,326084
1618704000000,2021-04-18 00:00:00,XMR/USDT,364.33,376.76,282.00,338.64,507767.709,163780086.50990,345583
1618617600000,2021-04-17 00:00:00,XMR/USDT,341.02,376.00,340.98,364.31,336942.772,120831326.50049,246569
1618531200000,2021-04-16 00:00:00,XMR/USDT,344.40,348.53,313.79,340.93,268503.014,89719873.77124,202207
1618444800000,2021-04-15 00:00:00,XMR/USDT,321.45,348.99,318.44,344.43,198313.694,66167503.18445,154304
1618358400000,2021-04-14 00:00:00,XMR/USDT,328.36,331.99,309.14,321.37,214182.742,68982713.46305,167944
1618272000000,2021-04-13 00:00:00,XMR/USDT,315.02,332.27,308.13,328.32,270146.792,86100192.22996,187739
1618185600000,2021-04-12 00:00:00,XMR/USDT,329.77,345.10,314.98,314.99,425588.230,140561829.36077,287596
1618099200000,2021-04-11 00:00:00,XMR/USDT,292.25,331.32,291.24,329.81,335003.937,104302608.29850,227176
1618012800000,2021-04-10 00:00:00,XMR/USDT,273.99,300.07,273.70,292.23,266132.879,77129697.26453,203837
1617926400000,2021-04-09 00:00:00,XMR/USDT,269.94,290.80,266.35,274.00,220548.231,61772426.81516,145745
1617840000000,2021-04-08 00:00:00,XMR/USDT,257.60,272.20,251.45,269.95,165667.026,43659996.65190,124012
1617753600000,2021-04-07 00:00:00,XMR/USDT,270.90,280.62,253.00,257.74,291956.840,78582270.46565,203517
1617667200000,2021-04-06 00:00:00,XMR/USDT,266.16,277.87,261.79,270.87,216381.773,58352350.76760,158455
1617580800000,2021-04-05 00:00:00,XMR/USDT,263.97,270.11,260.18,266.21,205402.348,54462266.69858,132258
1617494400000,2021-04-04 00:00:00,XMR/USDT,257.25,273.00,247.23,263.95,263820.643,68982747.68192,152924
1617408000000,2021-04-03 00:00:00,XMR/USDT,258.34,267.97,252.71,257.26,215686.473,56139610.92236,129728
1617321600000,2021-04-02 00:00:00,XMR/USDT,250.80,261.69,249.42,258.30,186739.427,47894237.77981,125780
1617235200000,2021-04-01 00:00:00,XMR/USDT,246.34,255.86,244.75,250.78,189084.918,47400294.92701,129223
1617148800000,2021-03-31 00:00:00,XMR/USDT,244.78,264.20,242.57,246.30,346606.870,87942342.46661,211938
1617062400000,2021-03-30 00:00:00,XMR/USDT,234.41,247.68,232.99,244.80,162503.522,39238061.41517,104354
1616976000000,2021-03-29 00:00:00,XMR/USDT,232.50,242.51,231.34,234.41,185456.825,43823682.72218,116919
